Time,Tag,Type,Message,
0,Agent04,I,My message,
0,Agent03,I,My message,
0,Agent02,I,My message,
0,Agent01,I,My message,
0.02,Agent04,I,My message,
0.02,Agent03,I,My message,
0.02,Agent02,I,My message,
0.02,Agent01,I,My message,
0.12,Agent04,I,My message,
0.12,Agent03,I,My message,
0.12,Agent02,I,My message,
0.12,Agent01,I,My message,
0.166216,Agent04,I,My message,
0.166216,Agent03,I,My message,
0.166216,Agent02,I,My message,
0.166216,Agent01,I,My message,
0.1835971,Agent04,I,My message,
0.1835971,Agent03,I,My message,
0.1835971,Agent02,I,My message,
0.1835971,Agent01,I,My message,
0.2002411,Agent04,I,My message,
0.2002411,Agent03,I,My message,
0.2002411,Agent02,I,My message,
0.2002411,Agent01,I,My message,
0.216928,Agent04,I,My message,
0.216928,Agent03,I,My message,
0.216928,Agent02,I,My message,
0.216928,Agent01,I,My message,
0.2330251,Agent04,I,My message,
0.2330251,Agent03,I,My message,
0.2330251,Agent02,I,My message,
0.2330251,Agent01,I,My message,
0.2501961,Agent04,I,My message,
0.2501961,Agent03,I,My message,
0.2501961,Agent02,I,My message,
0.2501961,Agent01,I,My message,
0.266239,Agent04,I,My message,
0.266239,Agent03,I,My message,
0.266239,Agent02,I,My message,
0.266239,Agent01,I,My message,
0.28233,Agent04,I,My message,
0.28233,Agent03,I,My message,
0.28233,Agent02,I,My message,
0.28233,Agent01,I,My message,
0.298882,Agent04,I,My message,
0.298882,Agent03,I,My message,
0.298882,Agent02,I,My message,
0.298882,Agent01,I,My message,
0.3154031,Agent04,I,My message,
0.3154031,Agent03,I,My message,
0.3154031,Agent02,I,My message,
0.3154031,Agent01,I,My message,
0.332757,Agent04,I,My message,
0.332757,Agent03,I,My message,
0.332757,Agent02,I,My message,
0.332757,Agent01,I,My message,
0.3486911,Agent04,I,My message,
0.3486911,Agent03,I,My message,
0.3486911,Agent02,I,My message,
0.3486911,Agent01,I,My message,
0.366101,Agent04,I,My message,
0.366101,Agent03,I,My message,
0.366101,Agent02,I,My message,
0.366101,Agent01,I,My message,
0.3826281,Agent04,I,My message,
0.3826281,Agent03,I,My message,
0.3826281,Agent02,I,My message,
0.3826281,Agent01,I,My message,
0.398928,Agent04,I,My message,
0.398928,Agent03,I,My message,
0.398928,Agent02,I,My message,
0.398928,Agent01,I,My message,
0.4155041,Agent04,I,My message,
0.4155041,Agent03,I,My message,
0.4155041,Agent02,I,My message,
0.4155041,Agent01,I,My message,
0.4322411,Agent04,I,My message,
0.4322411,Agent03,I,My message,
0.4322411,Agent02,I,My message,
0.4322411,Agent01,I,My message,
0.4486121,Agent04,I,My message,
0.4486121,Agent03,I,My message,
0.4486121,Agent02,I,My message,
0.4486121,Agent01,I,My message,
0.4655061,Agent04,I,My message,
0.4655061,Agent03,I,My message,
0.4655061,Agent02,I,My message,
0.4655061,Agent01,I,My message,
0.4815141,Agent04,I,My message,
0.4815141,Agent03,I,My message,
0.4815141,Agent02,I,My message,
0.4815141,Agent01,I,My message,
0.4978,Agent04,I,My message,
0.4978,Agent03,I,My message,
0.4978,Agent02,I,My message,
0.4978,Agent01,I,My message,
0.515151,Agent04,I,My message,
0.515151,Agent03,I,My message,
0.515151,Agent02,I,My message,
0.515151,Agent01,I,My message,
0.530905,Agent04,I,My message,
0.530905,Agent03,I,My message,
0.530905,Agent02,I,My message,
0.530905,Agent01,I,My message,
0.548074,Agent04,I,My message,
0.548074,Agent03,I,My message,
0.548074,Agent02,I,My message,
0.548074,Agent01,I,My message,
0.564708,Agent04,I,My message,
0.564708,Agent03,I,My message,
0.564708,Agent02,I,My message,
0.564708,Agent01,I,My message,
0.5814251,Agent04,I,My message,
0.5814251,Agent03,I,My message,
0.5814251,Agent02,I,My message,
0.5814251,Agent01,I,My message,
0.596995,Agent04,I,My message,
0.596995,Agent03,I,My message,
0.596995,Agent02,I,My message,
0.596995,Agent01,I,My message,
0.6136141,Agent04,I,My message,
0.6136141,Agent03,I,My message,
0.6136141,Agent02,I,My message,
0.6136141,Agent01,I,My message,
0.6308011,Agent04,I,My message,
0.6308011,Agent03,I,My message,
0.6308011,Agent02,I,My message,
0.6308011,Agent01,I,My message,
0.6472701,Agent04,I,My message,
0.6472701,Agent03,I,My message,
0.6472701,Agent02,I,My message,
0.6472701,Agent01,I,My message,
0.6822821,Agent04,I,My message,
0.6822821,Agent03,I,My message,
0.6822821,Agent02,I,My message,
0.6822821,Agent01,I,My message,
0.699141,Agent04,I,My message,
0.699141,Agent03,I,My message,
0.699141,Agent02,I,My message,
0.699141,Agent01,I,My message,
0.716411,Agent04,I,My message,
0.716411,Agent03,I,My message,
0.716411,Agent02,I,My message,
0.716411,Agent01,I,My message,
0.7329351,Agent04,I,My message,
0.7329351,Agent03,I,My message,
0.7329351,Agent02,I,My message,
0.7329351,Agent01,I,My message,
0.7486141,Agent04,I,My message,
0.7486141,Agent03,I,My message,
0.7486141,Agent02,I,My message,
0.7486141,Agent01,I,My message,
